task_id,method,oof_auc,evaluation_auc,auc_gain_vs_aligned_logistic,anchor_indices,route_nonzero_fraction
gue_emp_H3,probability_blend_linear_weight_0.05,0.952279006624459,0.9513896574498848,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.05,0.9522716321476907,0.9514075078988234,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.10,0.9524384796845734,0.9515431713107583,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.10,0.9524251832794913,0.9515503114903339,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.15,0.952583064123031,0.9516395637350279,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.15,0.952566415683054,0.9516395637350279,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.20,0.9527103017809083,0.9517645168775994,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.20,0.9526920890579804,0.9517591617429179,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.25,0.9528342712047634,0.9518466289427179,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.25,0.9528045218950729,0.95187518966102,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.30,0.9529368714061646,0.9519769372199711,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.30,0.9529048315392963,0.9519912175791222,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.35,0.9530313708565706,0.9520983202727549,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.35,0.952996761096283,0.9521018903625427,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.40,0.9531147527245758,0.9522482640438408,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.40,0.9530711204036968,0.9522643294478856,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.45,0.9531733854016087,0.9523999928598205,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.45,0.953130786624822,0.9524035629496083,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.50,0.9532219899075816,0.9524999553738777,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.50,0.9531844471167611,0.9524553292515308,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.55,0.9532640858791341,0.9525802823941021,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.55,0.9532226603145605,0.95258385248389,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.60,0.9532863489775596,0.9526695346387961,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.60,0.953249504527342,0.9526980953570982,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.65,0.9532984721704288,0.9527284411202941,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.65,0.9532600075700121,0.952744506524339,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.70,0.9533005671922378,0.9527712821977473,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.70,0.9532688345952349,0.9527730672426411,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.75,0.9532936955207036,0.9527677121079594,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.75,0.9532695608694619,0.9527855625568983,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.80,0.9532753989969036,0.952774852287535,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.80,0.9532489737884838,0.9527927027364738,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.85,0.9532413199754743,0.9527909176915799,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.85,0.9532212915669787,0.9527819924671106,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.90,0.9531996988755319,0.9528087681405186,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.90,0.9531901455760822,0.9528087681405187,,,1.0
gue_emp_H3,probability_blend_linear_weight_0.95,0.9531464294543307,0.9528391139037147,,,1.0
gue_emp_H3,logit_blend_linear_weight_0.95,0.9531405913268891,0.952833758769033,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.05,0.8905786345166604,0.9239999999999999,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.05,0.8905836863430574,0.924016,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.10,0.8907121454361908,0.9241280000000001,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.10,0.8907200055286211,0.92416,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.15,0.8908377504763446,0.924204,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.15,0.8908469727304242,0.9242119999999999,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.20,0.8909529237239232,0.924304,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.20,0.8909642712554222,0.92432,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.25,0.891057810170923,0.9244559999999999,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.25,0.8910696575432513,0.924504,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.30,0.8911548918513857,0.9244840000000001,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.30,0.8911678819895796,0.9245,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.35,0.8912444911817242,0.924592,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.35,0.8912555334669153,0.924676,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.40,0.8913240173838994,0.9247,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.40,0.8913350157899336,0.9247799999999999,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.45,0.8913936612368537,0.9247799999999999,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.45,0.8914021737932674,0.9248360000000001,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.50,0.891451593170529,0.924888,,,1.0
gue_human_tf_0,logit_blend_linear_weight_0.50,0.8914580911013102,0.924904,,,1.0
gue_human_tf_0,probability_blend_linear_weight_0.55,0.8914963117546476,0.924936,,,1.0
